1,R,DATA,1/4/2019,8:01,8:00,04/01/19 14:05:42,04/01/19 23:11:53,08:06
1,R,DATA,1/3/2019,8:07,8:00,10/01/19 13:42:07,03/01/19 22:12:50,08:30
1,R,DATA,1/4/2019,8:01,8:00,04/01/19 14:05:42,04/01/19 22:11:53,08:06
1,R,DATA,1/7/2019,12:16,8:00,07/01/19 09:25:08,07/01/19 23:02:14,13:37
1,R,DATA,1/8/2019,7:09,8:00,08/01/19 09:40:03,08/01/19 18:49:37,09:09
1,R,DATA,1/9/2019,7:48,8:00,09/01/19 09:23:03,09/01/19 18:45:56,09:22
1,R,DATA,1/10/2019,11:28,8:00,10/01/19 09:20:09,10/01/19 22:33:13,13:13
1,R,DATA,1/11/2019,12:10,8:00,11/01/19 09:15:34,11/01/19 23:06:19,13:51
1,R,DATA,1/14/2019,8:04,8:00,14/01/19 14:27:05,14/01/19 23:12:16,08:45
1,R,DATA,1/15/2019,8:10,8:00,15/01/19 14:32:56,15/01/19 23:01:10,08:29
1,R,DATA,1/16/2019,8:07,8:00,16/01/19 14:25:38,16/01/19 23:01:32,08:36
1,R,DATA,1/17/2019,8:37,8:00,17/01/19 14:29:11,17/01/19 23:12:24,08:43
1,R,DATA,1/18/2019,8:16,8:00,18/01/19 14:19:12,18/01/19 23:11:28,08:52
1,R,DATA,1/21/2019,8:28,8:00,21/01/19 14:35:57,21/01/19 23:07:11,08:32
1,R,DATA,1/22/2019,8:13,8:00,22/01/19 14:44:44,22/01/19 23:02:21,08:18
1,R,DATA,1/23/2019,8:07,8:00,23/01/19 14:12:27,23/01/19 23:07:51,08:55
1,R,DATA,1/24/2019,8:16,8:00,24/01/19 14:02:41,24/01/19 23:02:08,09:00
1,R,DATA,1/25/2019,8:13,8:00,25/01/19 14:10:35,25/01/19 23:01:28,08:51
1,R,DATA,1/28/2019,8:13,0:00,28/01/19 14:08:14,28/01/19 22:29:59,08:21
1,R,DATA,1/29/2019,8:27,0:00,29/01/19 13:19:02,29/01/19 23:04:40,09:45
1,R,DATA,1/30/2019,8:04,0:00,30/01/19 14:19:31,30/01/19 23:01:23,08:42
1,R,DATA,1/31/2019,8:25,0:00,31/01/19 13:55:24,31/01/19 23:01:08,09:06
